a-34.865542,-58.408072{Microbasural: Arroyo del Rey I}<yellow-dot>
-34.8168,-58.410361{Microbasural: Arroyo del Rey II}<yellow-dot>
-34.863225,-58.420542{Microbasural: Avenida Argentina}<yellow-dot>
-34.8165,-58.409214{Punto de arrojo: Bradley}<tan-dot>
-34.862131,-58.407003{Microbasural: Camino de las Latas}<yellow-dot>
-34.837017,-58.435942{Basural: Club Aleman}<orange-dot>
-34.877375,-58.370789{Microbasural: El Plata}<yellow-dot>
-34.827108,-58.429111{Microbasural: Ombu}<yellow-dot>
-34.829297,-58.408136{Microbasural: Pedro Echagüe}<yellow-dot>
-34.839803,-58.406408{Punto de arrojo: Pintos}<tan-dot>
-34.847,-58.424839{Microbasural: Tomas Guido}<yellow-dot>
-34.655739,-58.366108{Punto de arrojo: Chacabuco}<tan-dot>
-34.647025,-58.350603{Microbasural: Defensa}<yellow-dot>
-34.661428,-58.40135{Punto de arrojo: Ex Aceitera}<tan-dot>
-34.655231,-58.351803{Punto de arrojo: Huergo}<tan-dot>
-34.658669,-58.349364{Microbasural: Irala}<yellow-dot>
-34.649464,-58.344844{Punto de arrojo: Mazzini}<tan-dot>
-34.660975,-58.401264{Punto de arrojo: Murgiondo}<tan-dot>
-34.650172,-58.340625{Microbasural: Solis}<yellow-dot>
-34.660322,-58.403136{Punto de arrojo: Yatay}<tan-dot>
-35.035064,-58.71305{Macrobasural: Canuelas}<default-dot>
-34.85395,-58.477053{Microbasural: Arroyo Ortega}<yellow-dot>
-34.819383,-58.50075{Microbasural: Aguaribay}<yellow-dot>
-34.842722,-58.43565{Microbasural: Amat}<yellow-dot>
-34.873664,-58.413278{Microbasural: Avenida Argentina}<yellow-dot>
-34.854419,-58.444244{Microbasural: Ayacucho}<yellow-dot>
-34.809,-58.489258{Punto de arrojo: Barrio La Campana}<tan-dot>
-34.854431,-58.464333{Microbasural: Baliza Chiriguano I}<yellow-dot>
-34.847581,-58.469278{Punto de arrojo: Baliza Chiriguano II}<tan-dot>
-34.849436,-58.467825{Punto de arrojo: Baliza Chiriguano III}<tan-dot>
-34.843233,-58.482056{Punto de arrojo: Barbier}<tan-dot>
-34.836547,-58.500725{Punto de arrojo: Beltran}<tan-dot>
-34.848931,-58.472058{Microbasural: Bolivar}<yellow-dot>
-34.860133,-58.480439{Punto de arrojo: Cementerio}<tan-dot>
-34.784544,-58.495967{Punto de arrojo: Cerro Catedral}<tan-dot>
-34.886228,-58.431794{Punto de arrojo: Cipres}<tan-dot>
-34.817006,-58.509494{Punto de arrojo: Colectora}<tan-dot>
-34.850431,-58.453022{Punto de arrojo: Colon I}<tan-dot>
-34.853489,-58.450625{Punto de arrojo: Colon II}<tan-dot>
-34.795419,-58.494231{Punto de arrojo: Coronacion}<tan-dot>
-34.750261,-58.496769{Microbasural: De Sanzio}<yellow-dot>
-34.7435,-58.489783{Punto de arrojo: Del Progreso}<tan-dot>
-34.852789,-58.465789{Microbasural: Dolores}<yellow-dot>
-34.839489,-58.474947{Punto de arrojo: Pedro Dreyer}<tan-dot>
-34.804133,-58.480075{Punto de arrojo: Duclout}<tan-dot>
-34.828764,-58.506822{Basural: Edison}<orange-dot>
-34.816769,-58.503889{Punto de arrojo: El Amancay}<tan-dot>
-34.735003,-58.492247{Microbasural: Elizalde}<yellow-dot>
-34.742064,-58.493006{Microbasural: Esparta}<yellow-dot>
-34.821147,-58.506403{Punto de arrojo: Estancia los Remedios}<tan-dot>
-34.814169,-58.499733{Microbasural: Fair}<yellow-dot>
-34.839519,-58.473875{Microbasural: Faro}<yellow-dot>
-34.853097,-58.460892{Microbasural: General Villegas}<yellow-dot>
-34.835544,-58.500969{Punto de arrojo: Guido Spano}<tan-dot>
-34.7504,-58.507878{Microbasural: Avenida Ingeniero Huergo}<yellow-dot>
-34.855856,-58.472125{Punto de arrojo: Jose Hernandez}<tan-dot>
-34.771297,-58.492542{Microbasural: Jose Maria Paz}<yellow-dot>
-34.874617,-58.44785{Microbasural: Juana de Arco}<yellow-dot>
-34.849636,-58.434806{Microbasural: Junin}<yellow-dot>
-34.736031,-58.49725{Punto de arrojo: La Noria I}<tan-dot>
-34.736719,-58.498383{Microbasural: La Noria II}<yellow-dot>
-34.734542,-58.494408{Punto de arrojo: La Noria III}<tan-dot>
-34.757494,-58.489386{Punto de arrojo: La Rabida}<tan-dot>
-34.843494,-58.439214{Punto de arrojo: Las Orquideas}<tan-dot>
-34.857039,-58.443386{Punto de arrojo: Loberia}<tan-dot>
-34.851264,-58.447506{Microbasural: Lobos}<yellow-dot>
-34.831547,-58.501856{Punto de arrojo: Lopez}<tan-dot>
-34.747794,-58.482722{Punto de arrojo: Los Pasteleros}<tan-dot>
-34.842447,-58.480353{Microbasural: Los Pinos}<yellow-dot>
-34.845886,-58.441731{Punto de arrojo: Lujan}<tan-dot>
-34.859736,-58.461325{Basural: Maipu}<orange-dot>
-34.859517,-58.4605{Punto de arrojo: Maipu calle}<tan-dot>
-34.73885,-58.501125{Microbasural: Mar del Plata}<yellow-dot>
-34.777186,-58.288569{Punto de arrojo: Mariana Arbel}<tan-dot>
-34.848078,-58.490942{Microbasural: Martin Fierro}<yellow-dot>
-34.836514,-58.468756{Microbasural: Martinez}<yellow-dot>
-34.785903,-58.4723{Microbasural: Maxer}<yellow-dot>
-34.845144,-58.442361{Punto de arrojo: Mercedes}<tan-dot>
-34.814617,-58.504792{Punto de arrojo: Monte Guarani}<tan-dot>
-34.807022,-58.505553{Punto de arrojo: Newton}<tan-dot>
-34.834308,-58.501844{Punto de arrojo: Palacios}<tan-dot>
-34.874958,-58.414169{Microbasural: Parravicini}<yellow-dot>
-34.883703,-58.426753{Punto de arrojo: Paz}<tan-dot>
-34.857806,-58.475836{Microbasural: Pizzurno}<yellow-dot>
-34.739647,-58.4942{Punto de arrojo: Platon}<tan-dot>
-34.854019,-58.442775{Microbasural: Predio Ayacucho}<yellow-dot>
-34.885047,-58.429953{Microbasural: Predio Cipres}<yellow-dot>
-34.787564,-58.493864{Microbasural: Predio Mainer}<yellow-dot>
-34.790511,-58.498644{Microbasural: Reserva}<yellow-dot>
-34.786019,-58.470978{Punto de arrojo: Ricardo Rojas}<tan-dot>
-34.732692,-58.500942{Punto de arrojo: Roca I}<tan-dot>
-34.729919,-58.495939{Punto de arrojo: Roca II}<tan-dot>
-34.889047,-58.428156{Microbasural: Ruta 16 (banquina)}<yellow-dot>
-34.773969,-58.466714{Punto de arrojo: Ruta 4}<tan-dot>
-34.828692,-58.450086{Punto de arrojo: Sabato}<tan-dot>
-34.754447,-58.497339{Punto de arrojo: San Juan}<tan-dot>
-34.822606,-58.495847{Punto de arrojo: San Luis}<tan-dot>
-34.754481,-58.504842{Punto de arrojo: Santos Vega}<tan-dot>
-34.75365,-58.505436{Microbasural: Segundo Sombra}<yellow-dot>
-34.778903,-58.472247{Punto de arrojo: Terminal}<tan-dot>
-34.791933,-58.449547{Microbasural: Valette}<yellow-dot>
-34.871244,-58.449689{Microbasural: Ventura avila}<yellow-dot>
-34.847633,-58.440403{Punto de arrojo: Zarate}<tan-dot>
-34.844867,-58.533647{Punto de arrojo: Avellaneda}<tan-dot>
-34.872261,-58.588725{Microbasural: Balcarce}<yellow-dot>
-34.843981,-58.531869{Punto de arrojo: General Lavalle}<tan-dot>
-34.837456,-58.518647{Punto de arrojo: Güemes}<tan-dot>
-34.843042,-58.530006{Punto de arrojo: Ituzaingo}<tan-dot>
-34.841167,-58.526114{Punto de arrojo: Pravaz}<tan-dot>
